old_scheme_id,old_name,new_name
20115,Nowapara Kathalguri  PWSS,Nalzuhi Pathar PWSS
20117,Maghu Bilar Pathar  PWSS,Khetrapara PWSS
20118,Lohikata  PWSS,Kaltoli Pathar PWSS
20119,Khetrapara  PWSS,Kalardia No.1 PWSS
20120,Kaltoli Pathar  PWSS,Kalardia PWSS
20121,Dakshin Suba  PWSS,Maghu Bilar Pathar PWSS
20124,Deuridoba  PWSS,Chaudhurypara PWSS
20125,Dekradiatup  PWSS,Batahdia PWSS
20126,Chaudhurypara  PWSS,Bhugedia No.-2 PWSS
20127,Batahdia  PWSS,2 No Bala Gaon PWSS
20128,Bhugedia No.-2  PWSS,Bhugedia No.-1 PWSS
20206,AJARTOLI PWSS,JADUPATHAR BALIGHAT PWSS
20210,2 No Bala Gaon  PWSS,1 No Bala Gaon PWSS
20233,Bhugedia No.-1 PWSS,Tekeliphuta PWSS
20236,SONAPUKHURI PWSS,Sonapukhuri Mini PWSS
20239,1 No Bala Gaon  PWSS,Tapar Pathar PWSS
20248,Ambari Pam  PWSS,Kandulimari No.1 PWSS
20281,KACHARI PAM NO. 3 PWSS,KACHARI PAM NO. 3 PWSS
20290,Maugatari PWSS,Alikah PWSS
20320,Palpara PWSS,Shantipur PWSS
20348,Baregaon PWSS,Bongaon Buri PWSS
20360,Tilapahar PWSS,Khatira PWSS
20367,Deor Ali PWSS,Kaharpara PWSS
20374,Lochana PWSS,Dharampur PWSS
20387,Pathaldhia PWSS,Garobasti PWSS
20392,Kaltali PWSS,Kalatoli No.1 PWSS
20396,Merganda PWSS,Pub Mergenda PWSS
20413,LARSING PWSS,Duri Killing Rongkimi PWSS
20423,KHOLAPHIANG PWSS,Kholalapheng Part A PWSS
20437,Barkhal N.C. PWSS,Dhelasar New PWSS
20443,Palahartari No. III SVS,Palahartari khutirpar
20444,Nadhia Para No. 1 PWSS,Sapartari New PWSS
20450,Kakijan 1 PWSS,SARKEY BASTI GP 1 PWSS
20455,Masjid Area PWSS,JANJU CAMP PWSS
20460,Deeben Gaon 1-2 PWSS,NAKHUTI GP 1 PWSS
20463,Hanpara PWSS,Membasti PWSS
20484,PUNNIPARA SVS,New Mandira Pathar
20494,BARPUKHURI KACHARIGAON PWSS,NARAYANPUR PWSS
20507,Merganda PWSS,Mergenda No. 1 PWSS
20514,Kachari Gaon PWSS,DAKHIN LUMDING GP 2 PWSS
20532,Kandpur PWSS,Gorabori PWSS
20536,Bamunpara  PWSS,Koitasidhi PWSS
20539,Dakshin Suba  PWSS,Uttar Tukura Para PWSS
20550,Barkukuria  PWSS,Boratoli PWSS
20554,Kalardia  PWSS,Majgumi Puthimari PWSS
20561,Madhav Dev Nagar PWSS,KATAURA PWSS
20569,Chanpupara Pathar  PWSS,Saralpara PWSS
20575,Narasingha Patti Mini PWSS,NEW AMBARI FV PWSS
20604,PURAN GAON NO. 3 PWSS,PURAN GAON NO. 3 PWSS
20677,TERON GAON(SEDENG TERANG)PWSS,Jirikinding Terang Gaon PWSS
20696,NEPALI BOSTI PWSS,Kholalapheng Part B PWSS
20706,BIRINGA ATI PWSS,Gerjaipam Gaonbura Basti PWSS
20715,BADLA PATHAR NO. 3 PWSS,Rangeswari Pam Pwss
20733,Tarapara PWSS,Borgaon Para-Haldipara PWSS
20805,SUMER PATHAR(LANGPARPAN) PWSS,Lang Long Dang PWSS
20860,JENKHA RONGPI GAON PWSS,JENKHA NEPALI GAON PWSS
20864,KOMALONGJON PWSS,Koma Anglong PWSS
20882,LUMMUTEM PWSS,Lummujen PWSS
20918,Tisso Gaon PWSS,Notun Borghat 1 PWSS
20934,Longboi Ronghang Gaon PWSS,Longboi Boro PWSS
20981,"Kawaimari Zone II, Mir Ingku, Rongjamir PWSS","Kawaimari Zone II,Rongjamir PWSS"
20997,CHAKARIGAON PWSS,KOSUPIT PWSS
21010,"GOPCHARGURI,SANTIPUR DEWRI PWSS   ",Santipur Dewri PWSS
21041,NO 1 KAMDEWAL PWSS ,Ouguri PWSS
21047,MAJIKUCHI NO.1  PWSS,Majikuchi No.2 PWSS
21090,Miya Suba PWSS,Kekurijan No.2 PWSS
21103,UTTAR SALMARA  SVS,2 No. Jawkata Gaon PWSS
21141,Nagopara PWSS,Namborjuli PWSS
21203,Palashartari PWSS,Batakuchi PWSS
21232,NEW HAKARAPARA SVS,NEW HAKARAPARA SVS
21233,Nayapara PWSS,Nampara PWSS
21243,Besimari F.V PWSS,Kulsi PWSS
21251,EAST PARA PWSS,Banadh Market Chuburi PWSS
21280,Kakila Mazgaon PWSS,GojenPathar PWSS
21289,Bijaypur PWSS,No.2 Bijaypur PWSS
21316,GOSAIBORI 1 PWSS,Khaloigaon PWSS
21328,Ouguri PWSS,Natun Khatar PWSS
21367,BAGISANAGAR PWSS,No. 2 Bengenakhowa PWSS
21389,NA PAMUA PWSS,Bholaguri Abore Ghat PWSS
21435,Taradong Hanse PWSS,Langtuk Terang PWSS
21439,Chandra Terang PWSS,Chandra Terang PWSS
21446,JAMUGURI PWSS(NIZ HATICHUNG),JAMUGURI PWSS
21451,Gautam Basti Z-1 PWSS,Sobdoi Timung PWSS
21495,KARCHUNG SATRA PWSS,RAJA ALI PWSS
21508,LOTANPUR PWSS,Dineshpur PWSS
21509,ODALIPOTHAR SVS,Ganeshpur PWSS
21523,KENDUGURI NO. 1 PWSS,NEW KENDUGURI PWSS
21528,Japarajan PWSS,Ram Bd. Chetry Tila Basti PWSS
21534,KENDUGURI PWSS,Pachim Kenduguri PWSS
21538,Borlai Hanse PWSS,Wai Terang PWSS
21554,Tekela Teron PWSS,Saphasing terang PWSS
21557,Sikari Teron PWSS,Jiliki Basti PWSS
21562,Mul Khang PWSS,Saibol PWSS
21589,Haitha Tokbi PWSS,Hema Engti PWSS
21592,Ruipi Lonkso PWSS,Ruipilangso PWSS
21682,RAM LNGHI GAON PWSS,Preelangso PWSS
21685,NELI BARI NEPALI BASTI PWSS,Monsing Timung PWSS
21763,Harizon Basti Dikchamukh PWSS,Harinagar Bazar Tilla PWSS
21764,Moina Dhar (Madhura) PWSS,Tupidhar PWSS
21808,BHUYAN CHUK PWSS,Bhuyan Chuk PWSS
21850,Sobdoi  Timung PWSS,Guatam Basti Z-1 PWSS
22003,Gobin Rongphar PWSS,Rongdo PWSS
22005,Longkiram Hanse PWSS,Narep Timung PWSS
22008,Tekela Teron (Borjan)  PWSS,Sarthe Kramsa PWSS
22011,LONGJAP JARONI PWSS,HATIPHANDI PWSS
22014,Khoken PWSS,Parlene Lekthe PWSS
22016,Mon Teron PWSS,Sikari Kathar PWSS
22019,Killing Gaon PWSS,Langtuk Kramsa PWSS
22029,MAICHAM  PWSS,Amdubi Borbill No.1 PWSS
22125,MIKIR PAR URIA PWSS,MIKIR PAR URIA PWSS
22127,MIKIRHAT PWSS,MIKIRHAT PWSS
22165,NIZ-JURIA PWSS,KAWAIMARI II
22183,OWANA PWSS,OWANA NO. 1 PWSS
22273,"GIRJAJYOTI,AMARJYOTI NO-3, BALIZAN PWSS",Amarjyoti PWSS
22283,Ampahar PWSS,Ampahar PWSS
22288,Tilku Basti PWSS,Tilku Basti PWSS
