old_scheme_id,old_name,new_name
28668,Nutan Tilla PWSS,Bubrighat II PWSS
28677,KONWARI GAON PWSS,SUKANPATHER PWSS
28692,TIPLING BHADHARIA PWSS,DIHING KINER BAHDHARI PWSS
28706,BAJIPAHUMARA NO.1 PWSS,Jamuguri No.2 PWSS
28708,UKHOBAM PWSS,Ukhobam PWSS
28712,TIPANIA BANGALI NO.3 PWSS,TIPOMIA BONGALI NO. 3 PWSS
28739,GERAKONI NO.2(B) PWSS,SUKANI (B) PWSS
28742,GERAKONI NO.2 (A) PWSS,N.P. Lerelapather PWSS
28754,JAMUGURI NO.2 PWSS,Kekuri Bongali No.2 PWSS
28757,KATHALANI PWSS,KATHALANI PWSS
28759,KENDUGURI NO.1 PWSS,JOYPUR T.E. MINI PWSS
28768,NAHARANI BLOCK NO.2 PWSS,NAHARANI BLOCK NO 1 PART 2 PWSS
28770,NALANI PWSS,Dalapa No.2 PWSS
28795,MOIDOMIA GAON PWSS,MOIDOMIA GAON PWSS
28797,SISUMORIA PWSS,SISUMORIA BAMCHUK PWSS
28893,JAGDUAR GAYAN GAON PWSS,JAGDUAR GAYAN GAON PWSS
28895,Habigaon PWSS,Mitham Bangali PWSS
28908,Dakshin Suba  PWSS,Nowapara Kathalguri PWSS
29263,Nalzuhi Pathar PWSS,Lohikata PWSS
29269,Singimari Habi 1 PWSS,New Alikash PWSS
29270,Singimari Habi PWSS,Alikash PWSS
29274,Tokradia  PWSS,Uttar Bankakata PWSS
29275,Iadingia  PWSS,1 No. Jawkata Gaon PWSS
29482,GOHAIN GAON,Moutgaon No 2 PWSS
29518,Kalibari Veterbond PWSS,Manashyapur (Barmanbasti) PWSS
29551,BOKOLAI KUMAR,Kumargaon No 2 PWSS
29907,GHAHI HARM NO.20,2 No. Notun Farm PWSS
30009,"Nayapur, Laosadisa & Raijaodisa PWSS","Nayapur, Laosadisa & Raijaodisa PWSS"
30034,CHAPRAKATA NAYAPARA PT. II PWSS,CHAPRAKATA NAYAPARA PT.II PWSS
30181,DIPATOLA SERUBASTI PWSS,Sensuwa PWSS
30214,Deor Ali PWSS,Thengapara PWSS
30266,Harishchandrapur PWSS,Harischandrapur-II pwss
30436,Santipur-Samserpur PWSS,Binopur-samserpur pwss
30872,DUARIBAGHA KANAKPUR PWSS,South Kanakpur PWSS
30894,Khagail PWSS,Sagarpaar PWSS
30900,Kesharkapan East  PWSS,Shikarpur PWSS
31015,Satiyara Pather pwss,Salamara PWSS
31634,Extension of new colony pwss,Saraipara PWSS
32005,"Digandu-II, Digandu- IV, Digandu-III & Digandu-V PWSS","Digandu-II, Digandu- III PWSS, Digandu-IV & Digandu-V PWSS"
32007,"Boro Langherang, Langdisa, Dikarbi & Taralangso PWSS","Boro Langherang, Langdisa & Dikarbi PWSS"
