new_name,old_scheme_id
Tapar Pathar PWSS,20239
No 1 Morisuti PWSS,16362
Borchapori Pwss,18040
Uttar Tukura Para PWSS,20539
Kulabil Mornoi Nepali PWSS,16552
No. 2 Bengenakhowa PWSS,21367
Dakhin Champupara PWSS,28908
Tirual Gaon No-3 PWSS,18207
Uttar Karaibill PWSS,20108
Fatual PWSS,17950
NO 1 Muslim Chuburi PWSS,17154
Pub Mergenda PWSS,20396
Mergenda No. 1 PWSS,20507
Kalatoli No.1 PWSS,20392
Alikash PWSS,29270
New Alikash PWSS,29269
Tekeliphuta PWSS,20233
1 No Bala Gaon PWSS,20210
Bhugedia No.-1 PWSS,20128
2 No Bala Gaon PWSS,20127
Bhugedia No.-2 PWSS,20126
Batahdia PWSS,20125
Chaudhurypara PWSS,20124
Dekradiatup PWSS,20124
Borchala Muslim Chuburi PWSS,15010
Puroni jamuguri Part-A PWSS,24019
Da-Gaon PWSS,17892
Natun jamuguri Part-A PWSS,24021
Townhulla PWSS,17887
No-2 Borphukankhat PWSS,15966
Amarjyoti PWSS,22273
Bebejia Likchan PWSS,17248
No.1 Tarani PWSS,15970
Dineshpur PWSS,21508
Bahbari No.2 PWSS,14448
Ganeshpur PWSS,21509
TENGAPUKHURI PWSS,8387
HABI GAON(SUKAFA),16848
HABI GAON(NAPUKHURI),8445
Bahbari No.3 PWSS,11943
GOHAIN BARI MPWSS,23801
GOHAIN BARI 2,27237
KONWAR CHUK 1,23821
KONWAR CHUK 2,27235
Dhekipelowa Bangali PWSS,23881
MATHURAPUR 4 NO. LINE PWSS,8484
MAIBELA BAGAN PWSS,8488
Mitham Bangali PWSS,28895
NEW BAULIPUKHURI PWSS,8482
ALI CHIGA (SIVASAGAR) WSS,11018
Jula Gaon PWSS,25702
Niz Bihaguri No.2 PWSS,24014
JOYPUR T.E. MINI PWSS,28759
Natun Majhi PWSS,23654
HILGRANT NO.2 NEW PWSS,22874
Niz Bihaguri No.3 PWSS,24012
RAMPUR GAON PWSS,12177
MOIDOMIA GAON PWSS,28795
NAHARANI BLOCK NO 2 PWSS,23765
Ukhobam PWSS,28708
Kekuri Bongali No.2 PWSS,28754
Sologuri No.1 PWSS,16870
Jamuguri No.2 PWSS,28706
Churatonibam No.1 PWSS,12233
Mazrowmari Bangali (Part-A) PWSS,23875
NAHARANI BLOCK NO 1 PART 2 PWSS,28768
Hunghungia No.3 PWSS,16569
Baligaon Part PWSS,24008
2 No. Notun Farm PWSS,29907
BALIJAN MILONJYOTI PWSS,23670
TIPOMIA BONGALI NO. 3 PWSS,28712
N.P. Lerelapather PWSS,28742
CHALAKATAKI NO 1 PWSS,14532
DIHING KINER BAHDHARI PWSS,28692
TINGRAI KORIBORTA GAON PWSS,10140
SISUMORIA BAMCHUK PWSS,28797
Ghuguloni Bongali PWSS,17097
KATHALANI PWSS,28757
KENDUGURI NO. 2 & SESANEPALI PWSS,12067
TEPORCHALI BAMGAON PWSS,16571
Jaloni 274 NLR PWSS,15350
Jamuguri No.1 PWSS,17509
LEPETKATA T.E. PWSS,19474
GHUGULANI PWSS,23771
SUKANI (B) PWSS,28739
SUKANPATHER PWSS,28677
LEPETKATA T.E. NO 1 PWSS,19475
Gandhia Ikarani PWSS,23772
Dikhari 119 No. FS 144-107 NLR PWSS,15069
Moran (CT) Pt.7 PWSS,15881
MOHMARI GAON NO 2 PWSS,15332
Dalapa No.2 PWSS,28770
MURHANI PWSS,10215
NAMRUP CHAH BAGICHA TINIKUNIA PWSS,10283
Singimari Bazar Dakhin Chuk PWSS,19803
2 NO MAGURGAON PWSS,23257
Dakhin Jar Bagan Virot Colony PWSS,23265
OWANA NO. 1 PWSS,22183
Gerjaipam Gaonbura Basti PWSS,20706
NEW KENDUGURI PWSS,21523
KOSUPIT PWSS,20997
Khaloigaon PWSS,21316
KAWAIMARI II,22165
Majgaon PWSS,22359
Amdubi Borbill No.1 PWSS,22029
Pachim Kenduguri PWSS,21534
Gerjaipam Dakhinpar PWSS,22370
Banadh Market Chuburi PWSS,21251
LAST GATE PWSS,22333
RAJA ALI PWSS,21495
Sensuwa PWSS,30181
JAMUGURI PWSS,21446
NARAYANPUR PWSS,20494
HATIPHANDI PWSS,22011
JADUPATHAR BALIGHAT PWSS,20206
MIKIRHAT PWSS,22127
New Chatai Chapori MPWSS,11474
MIKIR PAR URIA PWSS,22125
Khalihamari West PWSS,10572
Kukurjan PWSS,28043
Majikuchi No.2 PWSS,21047
Natun Khatar PWSS,21328
No.2 Bijaypur PWSS,21289
No. 2 Dolabari PWSS,11887
Tihulabari Kaibatra PWSS,19685
No. 1 Dhendai TE PWSS,19371
Salamara PWSS,31015
Santipur Dewri PWSS,21010
GojenPathar PWSS,21280
Kekurijan No.2 PWSS,21090
New Harchura PWSS,18447
Pachim Datkola,19704
Sonapukhuri Mini PWSS,20236
Ouguri PWSS,21041
No.2 Bortamuli,19734
Bhitar Janmi Chuk,24938
Burhakuri Dakhin PWSS,3586
Lakhi Pathar PWSS,9604
Kaliapara PWSS,27574
Madhya Barika Chuburi PWSS,11427
Bhagwati Mandir Chuba PWSS,27581
Balipota Kamakhya Math PWSS,28492
Barjuli Bazar PWSS,10844
Ikorani PWSS,24453
Yadov Rai Grant 1-2 PWSS,25689
Hemai Rongpi PWSS,24449
Ram Bd. Chetry Tila Basti PWSS,21528
Den Timung PWSS,24457
Phulbari Pwss,26492
Jiliki Basti PWSS,21557
Saibol PWSS,21562
Sobdoi Timung PWSS,21451
United Adivasi PWSS,25699
Chiri Adong PWSS,27647
Nothong Teron PWSS,27646
Mon Basti PWSS,24110
DungKek Tisso PWSS,26490
Rintithe PWSS,25700
Guatam Basti Z-1 PWSS,21850
Kania Hanse PWSS,25694
Rongjangphong PWSS,25697
Amreng Ingti PWSS,25696
Tal Balijan Zone-1 PWSS,24856
Langsangti PWSS,24851
Moi Engti PWSS,27546
Parlene Lekthe PWSS,22014
Longkoi Timung PWSS,26479
Langtuk Kramsa PWSS,22019
Narep Timung PWSS,22005
Upper Adivasi PWSS,27545
Sikari Kathar PWSS,22016
Saijang PWSS,24383
Jilangso PWSS,27544
Surumanthi PWSS,27543
Mensing Terang PWSS,26517
Sarthe Kramsa PWSS,22008
Biddingson Marak PWSS,24835
Phuljang PWSS,27540
Rongdo PWSS,22003
Chandra Terang PWSS,21439
Wai Terang PWSS,21538
Saphasing terang PWSS,21554
Saphapani zone 1 PWSS,24759
Sarthe Rongpi PWSS,26534
Bakring Engti PWSS,25680
Langtuk Terang PWSS,21435
Bura Taro PWSS,27624
Ruipilangso PWSS,21592
Hema Engti PWSS,21589
Sarbura Engti (Panjan) PWSS,26522
Rongchave PWSS,24644
Cherat Bey PWSS,24645
Kehai Bey PWSS,24633
Mouldam PWSS,24063
Hemari PWSS,24084
Nasugrundisa PWSS,24079
Monsing Timung PWSS,21685
Upper Ekarani PWSS,25600
Na Mile PWSS,17522
Nagachang Amlaiguri PWSS,26416
Preelangso PWSS,21682
Majuar pwss,26417
Sunali pwss,24118
Parkoklangso PWSS,26414
Shanti Bosti pwss,25599
Bey Arong PWSS,27609
New Manja PWSS,27620
New Borjan PWSS,27608
Bandukmara Grant(Benguar Thimuka) PWSS,24721
Thingomkhul PWSS,25016
Chalkwari PWSS,24997
Norshingpur Quarter Line PWSS,27278
Ampahar PWSS,22283
Bongtok Terang PWSS,23932
Chandrasing Kro PWSS,26379
Gorjoga PWSS,26462
Kangjuk Athoi PWSS,26353
Mala Terang PWSS,22289
Patradisha Kangki Engti PWSS,22758
