name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
ANIPUR BAZAR PWSS,4142000,3727800,414200,399,2926,31503,
ANTHAIBARI PWSS,707000,604000,67000,159,5070,33031,
Anuarpar PWSS,3481000,2976000,331000,230,6972,31810,
Aolatoli PWSS,3726000,3353000,373000,270,3549,29793,8205058
Arabari Gaon PWSS,1120000,957600,106400,101,11102,28349,30012662
ARAYNAPUR WSS,4387000,3948000,439000,196,4214,31539,8230377
Areng PWSS,1066000,911400,101300,30,3341,31017,8197781
Arimari PWSS,816000,697800,77500,182,8882,29355,
ARJUNGURI PWSS,8724100,7851800,872400,644,621,32063,
Arkatipur PWSS,1200000,1026000,114000,250,7343,30081,8229352
ASHARIKANDI PWSS,1505000,1287000,143000,0,656,32507,
ASOMIYA GAON NO 1 PWSS,4181900,3763700,418200,126,5868,31927,8230431
ASSOMIYA BALIJAN GAON PWSS,1877000,1604800,178300,183,17733,28176,30204681
ATHABARI,3384900,3046400,338500,231,321,28469,8183765
ATHAROKUTAJHAR PWSS,1786000,1608000,179000,426,1517,29530,8208606
Athiabari PWSS,4729000,4044000,449000,286,3368,32185,8206486
ATHIABOI BONMAJA PWSS (Revised),3059000,2753100,305900,134,1669,28581,
Athkhelia PWSS,9162000,8245000,916000,81,4801,29544,
AUGURI PWSS,2940300,2646200,294000,0,2216,32017,
AUNIATI JUGINIDHARI (NEW) ,3113000,2661600,295700,250,3794,29802,7828861
Auniati Satra PWSS,1500000,1282500,142500,86,1813,31646,
AWALALA PWSS,6395400,5755900,639500,186,2945,29968,8237406
AYLABARI W.S.S.,6606000,5946000,661000,499,93,32511,
AYNAKHAL BASTI MINI WSS,762000,652000,72000,61,9107,31829,
Azarbari,3808000,3256000,362000,100,1795,30249,8185474
BABUBIL PWSS,909000,777000,87000,371,629,31348,8210509
Babutillah PWSS,800000,684000,76000,239,7049,32820,
BACHAIRKHAL WSS,3257000,2931000,326000,210,3301,32067,8224265
BADARPUR BAZAR PWSS,6157000,5541300,615700,172,3122,31286,8228597
Badiarpara PWSS,2372000,2028000,225000,78,3373,32674,8203816
