name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
DHALIBEEL PWSS,1282000,1154000,128000,645,3162,31131,
DHALIGAON PWSS,3286100,3113100,345900,98,5805,19643,8226663
Dhalipar Pwss (revised),5520000,4968000,552000,171,6513,30301,
Dhalpukhuri Bazar ,7270000,6216000,690000,143,1781,30388,8184547
DHAMAR RESERVE PWSS,3701000,3331000,370000,153,481,30928,8197023
DHAMDHAMA PWSS,445000,380500,42300,303,1054,30881,8187225
DHAMDHULI WSS,4661000,3985000,443000,419,5330,31662,
Dhanehari Pt.II PWSS,4400000,3762000,418000,556,7089,31124,8227886
Dhanehari PWSS,4700000,4018500,446500,411,7088,32944,
DHANGURI PWSS,909000,777000,86000,243,8640,32984,
Dhaniabheti Pather PWSS,4500000,3847500,427500,305,6078,31338,
Dhaniabheti PWSS,4800000,4104000,456000,230,1710,28810,8173811
Dhantola PWSS,4762000,4072000,452000,264,3400,32705,
DHANTOLA T.E. PWSS,1452800,1307500,145300,54,18338,33066,
Dhanuar Basti,9984000,8537000,948000,191,1830,29572,8161270
Dharamapur PWSS,536000,458000,51000,0,5792,32861,8164147
DHARAMPUR PWSS,6304200,5673800,630400,17,5534,29238,
Dharamsala Pt- IV PWSS,4702000,4020000,447000,0,7717,32181,5456817
DHARAMTUL SANTIPUR PWSS,4594200,4134700,459400,206,2026,31715,8219563
DHARAPUR PWSS (revised),1876300,1688600,187600,379,191,30010,
DHARDHARA PWSS,2222000,1900000,211000,349,6710,32231,
Dharmikhal Grant PWSS,830000,710000,79000,377,7068,32307,
DHEKIA BHARALUA PWSS,3972000,3396100,377300,203,360,31029,8155414
DHEKONABARI PWSS (Revised),4940000,4446000,494000,110,348,30408,
DHELAKHAT PWSS,1824000,1641600,182400,616,5386,32677,
Dhentaghat PWSS,1034000,884100,98200,23,5821,32137,
Dherai Majuli PWSS,650000,556000,62000,0,14489,29286,30067122
DHING GAON PWSS,2800000,2394000,266000,271,3086,31318,8231958
Dhirai Bagan PWSS,752000,643000,71000,0,12539,29308,30005988
Dhiraiati Gaon PWSS,357000,305000,34000,0,14490,29289,30076442
DHOBAKURA PWSS,3183000,2864000,318000,150,2971,30964,3384921
Dholaguri Bagan PWSS,1501000,1350900,150100,432,6606,29462,8237516
DHOLAI MOLAI I WSS,3256000,2931000,326000,307,6068,29598,8192776
DHOLAI MOLAI III WSS,4183000,3765000,419000,161,6044,30351,8202531
DHOLAI MOLAI VII WSS,4722000,4249000,472000,407,6059,29484,8223640
Dholai P.W.S.Scheme,4025000,3437000,382000,334,204,32322,
DHOLAIBIL PWSS (REVISED),684000,584800,65000,30,227,29857,8148198
DHOPATARI PWSS (REVISED),2736000,2462400,273600,192,5438,29849,8221256
Dhuli PWSS (REVISED),3800000,3420000,380000,281,4370,29962,
DHULIAPAR PWSS,5985000,5386500,598500,461,20,32663,
DHUMBANDHA PWSS,3704000,3334000,370000,110,65,30253,8171735
Dhumgara Pwss (revised),3990000,3591000,399000,404,4303,32219,
DHUNIA BHUYAN PWSS,1015600,868300,96500,150,26,31860,
Dhunia Pather WSS,10990000,9396000,1044000,0,4943,32255,
Dhupaguri Kacharigaon PWSS,2820000,2411100,267900,262,1801,31043,8173876
Dhupaguri Pather PWSS,3825000,3270300,363400,389,5663,27230,6131342
DHUPARGURI PWSS (REVISED),2446300,2201600,244600,339,2226,31487,8162227
Dhupdhara PWSS,3986000,3408000,379000,182,3496,31719,8205176
DHUPGURI KATHALKUCHI PWSS (REVISED),5320000,4788000,532000,228,2845,31098,
DHUPGURI PWSS,4333900,3900500,433400,230,2170,29895,8213514
DHUPGURI PWSS (REVISED),2151800,1936600,215200,133,2847,31153,8222538
DHUPURI (OLD) PWSS,4911500,4420400,491200,165,4836,26157,8226667
DIBRUAL CHOWDANG (ZONE-I) PWSS ,2422500,2071200,351300,149,5731,32189,
DIBRUAL CHOWDANG (ZONE-II) PWSS,2422400,2180200,242200,149,5733,32235,
Didarkush Grant TE PWSS,830000,710000,79000,441,7070,32826,
Didarkush Motinagar PWSS,3906000,3340000,371000,439,7069,32825,
Didarkush Pt.I PWSS,4850000,4147000,461000,386,7064,31822,8230643
DIFFOLUGRANT PWSS,720100,648100,72000,421,366,32884,
DIGHALBORI PWSS,4278800,3850900,427900,266,2145,30203,8219539
Dighali Pather PWSS,2026400,1823700,202600,212,5095,29627,8236536
DIGHALIA GAON PWSS,3417200,3075400,341700,106,1552,31746,
Dighalipar PWSS,5000000,4275000,475000,41,2576,31745,8218894
Dighaljar,5608000,4795000,533000,250,1807,30235,8185849
DIGHELI PWSS,8001000,6840900,760100,764,1074,30884,8202384
Digheli PWSS,3492000,3143000,349000,146,3498,30204,8206116
Diglibahadurpur W.S.Scheme,3700000,3164000,352000,518,1172,32778,
Digor Fulertol Pt.II PWSS,4350000,3719000,413000,316,7037,32818,
DIHA BAGICHA BANGALI GAON PWSS,3362100,3025800,336200,240,4186,28301,8202306
DIHIRA,1975000,1689000,187000,176,3773,32233,
DIHJARI PWSS,620000,530100,58900,360,3689,30863,8234562
Dihuki Chamaka PWSS,5605000,5044500,560500,214,6989,31077,4651324
DIKHARUMUKH PWSS,1517000,1297000,144000,250,7790,30274,
DIKORAI TE NLR 4/6 PWSS (Revised),406800,347800,38600,20,3843,32522,8162057
DIKORAI TE NLR 42/42 PWSS (REVISED),3818600,3264900,362800,36,3842,30016,8235807
DIKORAIJAN PWSS (Revised),2486000,2125500,236200,90,233,32126,
Dimadaowapu PWSS,435100,391600,43500,54,6366,31895,8215626
DIMAJHORA PWSS,4625600,4382100,486900,232,5752,19637,8226836
DIMORUGURI PWSS,1062100,955900,106200,423,5383,32676,
Dimrupar,5866000,5015000,558000,160,1840,30483,8161247
DINGDINGA PWSS,577000,493000,55000,390,7501,33045,
Dipila PWSS,4476000,3827000,425200,237,1188,29550,8157985
DIPLONGA PWSS (Revised),340000,290700,32300,18,3844,30730,8162079
DIPOTA HATKHOLA PWSS (REVISED),1251000,1069600,118800,0,3827,29841,8161786
DIPTA PWSS,2388000,2041700,226900,468,3699,30978,8234582
Disabra PWSS,1065000,958500,106500,45,6385,31948,8205739
Dithur Tea Garden (Kopili Tea Estate) PWSS,1923000,1644200,182700,169,18736,29974,30011537
Doba Grant,4091000,3498000,389000,0,1176,32553,
DODATIA  PACHIMPAR PWSS,4554500,4099100,455500,85,12501,31600,
DODATIA PUBPAR PWSS,2629300,2366400,262900,92,11789,31552,
Dohajatia PWSS (revised),1895300,1705700,189500,355,6171,29872,8225759
Dohela PWSS,2784000,2506000,278000,168,3490,30642,8203278
Doigrung No.1 PWSS,3811400,3432000,381100,162,6642,29496,8224067
Doigrung PWSS,1995000,1799500,199500,208,6641,28177,8223804
DOLABARI PWSS (Revised),2491400,2130100,236700,0,236,28347,8153302
Dolagaon PWSS,4521000,4069000,452000,279,3404,31321,8203786
DOLANI BIL  PWSS,2454000,2098200,233100,0,18649,31667,30010586
Doldoli PWSS,1330000,1197000,133000,276,7267,29483,
DOLDOLIA Solar Powered Mini PWSS,47500,42800,4700,9,6842,31790,
"Dolibari No, 2 PWSS (Revised)",2798700,2518800,279900,220,4505,28840,
Dolkhowa No 1 PWSS,84000,71800,8000,70,18823,32991,
DOLOICHUBA PWSS,3276600,2948900,327700,327,2155,29292,8205895
Doloipara ,6650000,5985000,665000,21,6247,26437,8221430
DOLONGGURI BORPAM PWSS (Revised),4276900,3656700,406300,0,237,30862,8155344
Dolowjan Kunwarigaon PWSS,5197500,4677700,519700,121,7141,29616,8236664
Dongarpar PWSS (Revised),2109000,1898100,210900,140,4508,29648,6577612
Dongibil PWSS,2650000,2385400,261200,222,1866,32869,
Donkey Gaon PWSS,6278000,5368000,596000,92,4910,26960,8202722
DOOMDOMIA PWSS,2068000,1768100,196500,55,3105,30560,8194886
Doomordollong TE WSS,4416000,3776000,420000,0,7012,32547,
DOOPDOPI PWSS (Revised),2405000,2056300,228500,10,3828,30813,8185807
Dorapara PWSS,1101000,941000,105000,75,9053,32505,8235338
Dosmilekhuti PWSS,1524800,1372300,152500,55,4804,28945,8239022
Dosotany PWSS,4388000,3751700,416900,11,90,31848,8160566
DOTOMA PWSS,4219000,3797100,421900,75,5055,29575,8235084
DOTURI PWSS,3913100,3521700,391300,84,4835,23581,8234169
Dowarbond P.W.S.Scheme,604000,516000,57000,522,169,32776,
DOWARHRATHER PWSS,2931700,2638500,293200,315,1555,31513,8165801
DOYANG,2493000,2243000,249000,160,119,29479,
DOYANGMUKH PWSS,1254000,1128600,125400,388,5709,29423,8219714
Doyangpar PWSS,2976400,2678700,297600,65,7101,32416,
Doyapur Grant P.W.S.Scheme,4700000,4019000,447000,576,1201,32746,
Doyapur P.W.S.Scheme,4900000,4190000,466000,169,1554,32754,
Dubapara PWSS,3848000,3290000,366000,151,3527,32643,8160000
DUBLONG PWSS,3273000,2798000,311000,452,7833,30276,8238375
Dubrikandi PWSS,699000,598000,66000,232,2846,32632,
Dudnath PWSS,434000,371000,41000,0,7896,31228,
Dudpatil P.W.S.Scheme,5950000,5087000,565000,295,1774,32771,
Dudpatil Pt.VIII PWSS,700000,599000,67000,408,7252,32305,
Dudpatil Radhanagar PWSS,1150000,983300,109300,277,6953,31459,8230729
Duhalia-III PWSS,4807000,4326300,480700,323,3165,31826,
DUKHISUKHIJHAR PWSS,1845000,1577500,175300,299,7625,29638,8235318
Dulakhoria PWSS,4799000,4103100,455900,92,4235,31303,8202440
Dulalgram W.S.Scheme,4260000,3642000,405000,260,538,32407,
DULIA BHARALI PWSS,3316500,2984800,331600,285,4533,28295,8220357
DULIA CHARAL PWSS,1680500,1511600,168000,399,632,32419,
DULIA GAON,916000,783200,87000,295,492,29573,8203790
DULIAKHAL KARAIBARI PWSS,5053000,4549000,504000,289,270,30594,8201634
DULIGAON PWSS,979000,837000,93000,148,625,31875,
DULIJANI PWSS (Revised),2375000,2137500,237500,63,365,19569,
DULLAVCHERRA WSS,6178800,5560900,617900,425,4096,30723,8238180
DUMBAZAR PWSS,2283000,1952000,217000,327,2380,32945,
Dumunichowki Bazar PWSS,5124000,4381000,486800,39,84,32654,
Dumurghat PWSS,1000000,855000,95000,599,7255,32313,
DUMURIA PWSS,4563000,3901400,433500,0,1124,32588,
DUPONI PATHAR PWSS,3889100,3500000,388900,156,772,32341,
Durapara pwss (revised),3801000,3421000,380000,198,4554,31512,
DURGAMARI PWSS,4384000,3748300,416500,0,1128,32645,
Durganagar P.W.S.Scheme,1200000,1026000,114000,194,1293,31578,
Durganagar Pt.IV P.W.S.Scheme,5000000,4275000,475000,186,1643,29998,8182140
Durganagar Pt.V PWSS,1500000,1282500,142500,626,7254,31557,
Durganagar Pt.VI P.W.S.Scheme,1400000,1197000,133000,127,1633,30680,8182059
Durgangar Pt.III P.W.S.Scheme,3700000,3164000,352000,85,1275,32747,
Dusutimukh,226100,203500,22600,144,6211,28272,
DUTTAPUR PWSS,5020800,4518700,502100,96,5806,28992,
East Bhakatpur PWSS,4412000,3772000,419000,305,7082,32652,
EAST TUPKHANA WSS,4141000,3727000,414000,267,6580,31668,8223694
Edenbari PWSS,2554500,2299000,255400,65,967,30433,
EKORANI,4944000,4449600,494400,110,148,29468,
Ekorani Das Gaon PWSS,2968800,2671900,296900,116,5135,29469,
Embruba II PWSS,448000,383000,42600,8,6367,31167,8208131
Erakapili PWSS,4268000,3650000,405000,124,4491,26997,8202522
Ex. Of Jatia Kachari,1990000,1791000,199000,285,3190,33027,
Fafal PWSS,3703000,3333000,370000,222,3493,31270,
FAFANGA PWSS,1065000,958000,106000,82,251,31259,8175241
FAKIAL GAON NO. 2 PWSS,1375600,1238000,138000,381,2283,31427,8176387
FAKIRABAZAR PWSS,1003000,100000,903000,479,282,31749,8194092
Fakirpara PWSS,3002000,2702000,300000,77,3407,30980,8206170
Fakirtilla PWSS,4260000,3642000,405000,405,6928,32800,
FALAKATA PWSS,1624000,1388500,154000,155,7334,29635,1698474
Falimari TE (A) PWSS,302000,258000,29000,0,7895,31068,
FALIMARIGAON PWSS,2559000,2187000,244000,0,5713,31031,8164483
FALUGURI PWSS,1122000,959300,106600,250,1286,30232,
FANAIRBOND W.S.S.,6179000,5561000,618000,412,288,28279,8200136
Fatehpur PWSS,4809000,4328000,481000,80,9052,29650,8235328
FATEPUR PWSS,5007000,4506000,501000,192,290,30789,8193660
FETIPATH PWSS,6986300,6287700,698600,782,2806,32294,
FOKOLA POTHAR ZONE PWSS,8947000,7649700,850000,1978,4345,19905,5435496
Follongani No.1 PWSS,3738300,3364400,373800,27,5229,29498,
Frenchnagar PWSS,4260000,3642300,404700,440,6925,31582,
FULGURI PWSS,873100,785700,87300,85,5728,31924,
FULKAMARI TILAPARA PWSS,1890000,1616000,179500,17,18679,22757,
FURKATING NO 2,4592300,4133000,459200,61,518,28028,
FUTUKIBARI PWSS (revised),2128000,1915200,212800,47,4510,29869,6578266
Gabharupar Gaon pwss,4740000,4053000,451000,0,14760,29307,30051018
GAGALMARI BILPAR PWSS,2765500,2488900,276500,407,3298,32853,
GAGLACHERRA BAZAR WSS,5043000,4538000,504000,300,4488,29943,8223808
GAJIAJANI PWSS,4213000,3602000,400000,180,649,31786,8160864
GAJPURIA PWSS,3267100,2940300,326700,199,4607,29877,8220397
Gakhajua PWSS,4392800,3953500,439300,0,2729,31845,8239365
GALIA PT,836000,752400,83600,131,5339,28222,7922637
GAMBARIBIL PWSS,552000,552000,61000,154,1616,32909,
Ganak Doloni PWSS,190000,162400,18100,141,1827,32678,
GANAKPARA PWSS (Revised),2969000,2672000,297000,215,374,29429,8163927
GANAKPUKHURI,856000,770000,85600,227,280,29466,
GANDHELITARI NO. 1 PWSS (revised),2028300,1825400,202800,126,4512,31085,
GANDHMOW PWSS (Revised),3372500,3035300,337300,134,381,28852,8163978
Gandimpathar PWSS,2398000,2050000,228000,30,3494,32504,8206068
Ganesh Valley PWSS,6546500,5891800,654600,321,6988,32169,
Ganganagar P.W.S.Scheme,1130000,966200,107400,306,709,31467,8169612
Ganganagar Pt.III P.W.S.Scheme,4260000,3642300,404700,251,808,23346,
Ganganagar Pt.VII PWSS,3909000,3342200,371400,463,7346,30970,8230854
Ganganagar Pt.X PWSS,830000,710000,79000,181,7063,32310,
Gantagram P.W.S.Scheme,3700000,3163500,351500,125,1324,31461,
Garbasti Kharua PWSS,3230000,2907000,323000,461,7305,28178,
GARBHANGA PWSS,1330000,1197000,133000,42,199,29964,
GARBHANGA PWSS,3264500,2938000,326400,149,6352,31932,
GARDENPUR PWSS,1293000,1106000,123000,306,1593,32915,
GARGAON PWSS,4680000,4001400,444600,58,4833,31171,8235080
Garia Kawaimari PWSS,3500000,2992500,332500,372,5678,31815,5407935
Gariagaon No.1 PWSS,393300,354000,39300,245,6749,33073,
GARMARI PWSS,3716400,3344800,371600,217,7238,31887,5269669
GAROPARA PWSS,3539000,3185000,354000,130,664,29409,
GARSIGA PWSS,760000,684000,76000,231,3205,32697,
GARUBHASA PWSS,5986000,5387400,598600,125,5729,29240,
GARUCHATKA PWSS,3068000,2761000,307000,94,666,31108,8186803
Garupuratary PWSS,3604000,3082000,342000,162,3528,31861,8206445
GASBARITAL PWSS (Revised),4627500,4164700,462800,81,385,28853,8164132
GAURIPUR PWSS,3383900,3046000,338000,88,9030,31141,8236885
GAURNAGAR PWSS,3621000,3259000,362000,67,53,30794,8176578
GAYANGAON PWSS,3196000,2732300,303600,215,3100,27227,8194889
Gazantol PWSS (revised),2470000,2223000,247000,190,5618,32222,
GELAPATHAR  PWSS,694200,624900,69400,356,6135,32626,
GELAPUKHURI T.E 285 NLR PWSS,3288700,2959800,328900,99,2285,31793,8177179
GELEKI PWSS,304000,273600,30400,486,367,33071,
GELGELI PWSS,3790000,3240000,360000,215,5324,31540,
GENDRA PWSS,3532000,3179000,353000,124,43,31193,8175237
Geradubi PWSS,3508000,3157000,351000,45,3367,31099,8203703
GERUA NO. 1 PWSS (Revised),1472500,1325300,147300,234,387,28854,
GERUKANI,3610000,3249000,361000,114,500,28242,
GHANKURSHA MINI PWSS,47000,40200,4500,0,18551,31559,
GHARMURA-II PWSS,1273000,1146000,127000,64,7551,31288,5431445
GHARMURAH I PWSS,831000,748000,83000,168,4446,30962,8230393
GHARPHALIA PWSS,3629000,3266100,362900,241,489,29883,8155906
GHILADHARI BAGAN,1277800,1150000,127800,1178,340,29505,
GHILADHARIGAON PWSS (Revised),254500,217600,24200,0,244,30861,8157519
GHILLANI PWSS,3624000,3261600,362400,85,6257,29552,8230031
GHILLANI PWSS,112000,100800,11200,85,29552,32735,
Gholapani PWSS,4438000,3994000,443000,308,5145,29506,8225507
GHORACHOWA PATHAR PWSS,4834600,4351100,483500,207,4535,32897,
Ghorajan PWSS (REVISED),1165700,1049100,116600,53,7529,30957,
GHORAMARA BAZAR PWSS,2088100,1879300,208800,150,6182,32921,
Ghoraputa PWSS,719000,647000,72000,180,3447,31027,8203162
GHUGUDOBA PWSS,3591000,3232000,359000,141,54,30576,8159738
Ghuntibari PWSS,9000000,7695000,855000,343,7263,33002,
GHUNUSA HABI PWSS,1805000,1624500,180500,338,7223,32868,
GHURMURA PWSS,2463000,2105900,234000,200,5046,30534,8222286
GIRISHGANJ PWSS,444600,400100,44500,121,2805,32278,
Gobindanagar P.W.S.Scheme,4700000,4018500,446500,310,1420,31374,
Gobindapur Algapur Pt.III PWSS,4350000,3719000,413000,257,6958,32808,
Gobindapur Pt.II PWSS,3700000,3163500,351500,482,7261,32947,
Gobindapur PWSS,5045000,4540000,505000,200,3370,30020,8205077
Gobindapur PWSS,3451000,2951000,327000,0,6660,31203,6416192
GOBRADOL ZONE-II PWSS,1201000,1026900,114100,331,920,30869,8187245
GOG N.C PWSS (Revised),4043000,3639000,404000,62,2397,28828,8164071
Gog PWSS(Revised),1810000,1710000,190000,355,4976,29843,8225945
Gohain Ali Gaon PWSS,4427000,3984000,443000,0,14753,29306,30051014
Gohain Bheti Gaon PWSS,4900000,4190000,466000,0,14754,29310,
GOHAIN GAON PWSS,2780700,2502600,278100,503,5201,32686,
GOHAIN GAON PWSS,5432000,4644400,516000,67,4538,32703,
GOHAIN PUKHURI ARP PWSS,4054900,3649400,405500,154,1012,32190,
GOHAIN PUKHURI MNP PWSS,2781300,2488500,278100,114,5778,32093,
Gohaingaon No.2 PWSS,1697700,1527900,169800,31,7308,29485,5606550
GOHALKONA PWSS (revised),3800000,3420000,380000,271,2852,32590,
Gojalghat PWSS,1970000,1684400,187200,233,7092,31380,8227417
GOLADANGI PWSS,583000,498000,55000,130,7495,33057,
Golaghatia Basti,9128000,7805000,867000,161,1784,30404,8184578
GOLAI NO. 3 PWSS,1951300,1756200,195100,185,2288,29868,8176414
Gongapur PWSS,4610000,3942000,438000,283,6956,32280,
GONGIA PWSS,808000,691000,77000,233,6715,33051,
Goor Basti Gaon PWSS,2830000,2420000,269000,0,11723,29305,30020777
GOPALPUR PWSS (Revised),2313300,2081900,231300,86,388,28855,8234408
GOPIGAON - I PWSS,1073000,917000,102000,0,5817,31151,
GORBIL SILONIPAM PWSS (Retro Revised),1804400,1542700,171400,40,246,28927,8148257
Goremari PWSS,3748000,3373000,375000,157,3503,29453,8206547
GORERBOND PWSS,6178800,5560900,617900,505,391,31770,
Gorerbond PWSS,700000,598500,66500,417,7259,32950,
GORIAGHULI PWSS (revised),2565000,2309000,257000,50,2395,31399,
Gormur PWSS,2005400,1804800,200600,147,1684,32662,
GOROIMARA PWSS (Revised),570000,513000,57000,405,2228,28857,
GOROIMARI BILORJAN PWSS (Revised),593800,534400,59400,401,389,28859,
GOROIMARI BORPUKHURI PWSS (Revised),714900,611300,67900,0,3829,29322,8161778
GOROIMARI PWSS,5991700,5392500,599200,401,6986,32572,
GOROIMARI- II & III PWSS,4950500,4689900,521100,93,4842,19638,8233945
GORUMARACHAR PWSS,2375000,2031000,226000,212,1252,32948,
GOSSAIGAON PWSS,2510000,2146100,238500,187,3101,31816,8216696
GOSSAIGAON PWSS,4958000,4239100,471000,102,5730,23153,8221840
GOSSAIGAON-DOLGAON PWSS,1010000,864000,96000,650,6736,32980,
Gossaipur Pt.I P.W.S.Scheme,5000000,4275000,475000,311,1204,23338,8204675
Gossaipur Pt.II & III P.W.S.Scheme,4800000,4104000,456000,311,1428,23337,8217038
Gossaipur Pt.IV & V P.W.S.Scheme,4700000,4018500,446500,273,1277,30087,8180635
GOTAMORA PWSS (Revised),4252300,3635700,404000,0,3670,31906,
GOTLONG PWSS (Revised),1659000,1418400,157600,0,250,28221,8153374
Govindaganj PWSS,6178800,5560900,617900,560,2819,29236,5253944
GOWALGAON PWSS,4226000,3803000,423000,186,7497,31629,5509911
GOZALIPARA PWSS,1485000,1269700,141100,0,5666,32096,
GRAHAMPUR PWSS,404000,345000,38000,156,1318,32923,
Grandland Bagicha PWSS,550000,470300,52300,0,1753,31976,
GREATER AMTOLA (REVISED),3991000,3592000,399000,468,7530,32134,
GREATER BANGAON PWSS,571000,513900,57100,311,5483,22373,7828778
GREATER BHAWANIPUR PWSS,2944000,2649600,294400,579,5489,31006,7828812
GREATER BONGAON ,7444000,6364600,707200,730,4022,32580,7828849
GREATER DOBOKA PWSS,9093000,7775000,863000,4095,4274,30225,6064054
GREATER GOLAGHATIA BASTI,2763000,2363000,262000,137,4356,29848,6519111
GREATER KAMALABARI ,3599500,3239600,359900,438,4033,30936,
GREATER THENGAL,26144000,22353100,2483700,6735,5375,30492,3590854
Greater Ziakur PWSS (revised),10830000,9747000,1083000,122,4402,30391,
Guabari Kashiapurnjee (Gravity) PWSS,1200000,1026000,114000,173,9220,32314,
Gual Gaon,1037000,886600,98500,199,5287,29831,8229663
GUAL GAON,4307300,3876600,430700,132,188,29434,8177156
GUAL GAON PWSS,2543200,2288800,254300,368,4576,32898,
GUBINPUR Solar Powered Mini PWSS,379000,324000,36000,44,6835,33038,
Gulapar PWSS,6000000,5130000,570000,325,7262,32952,
GUMAIJHAR PWSS,402000,362000,40000,199,55,31004,8160367
Gumi PWSS (revised),1141000,1027000,114000,338,6244,31916,
GUNAMARA NO.1 PWSS,3231000,2907900,323100,448,8578,28476,4651282
GURIA PWSS,3091000,2782000,309000,328,259,31273,
GURUFELA PWSS,650000,556000,62000,54,1637,32918,
Guruthan PWSS,2652000,2267400,252000,341,1797,31818,
GUWABARI COLONYPARA PWSS,180000,154000,17000,238,6722,31184,2508556
GUWABARI PWSS,454000,388000,43000,433,6734,32178,
GUWAL GAON,4946000,4228800,469900,133,208,31457,8186280
GUWAL GAYEN PWSS,3840800,3456800,384000,304,5155,32408,
HABI CHUK MOUT PWSS,4901600,4411500,490200,178,6456,32357,
HABILAGAON PWSS (Revised),1900000,1710000,190000,107,578,28861,
Hadala PWSS (revised),3310800,2979700,331100,268,4635,29833,8231459
Hadaw PWSS,1950000,1667000,185000,0,1249,30430,
Hahcharagaon PWSS,36859100,33173200,3685900,268,3076,19769,8224228
HAHIMGAON pwss (revised),4548000,4093000,455000,243,2812,32339,
HAHSORI PATHAR PWSS (Revised),3325000,2992500,332500,132,732,29649,8164200
HAIDUBI PATHER PWSS,3187000,2725000,303000,147,3082,31743,8194890
HAILARPAR PWSS,6606300,5945700,660600,854,392,29984,8200184
HAITARKHA W.S.S.,4902000,4412000,490000,297,393,28130,8193976
HAJADISA PWSS,11400000,10260000,1140000,227,3655,29982,3412931
HAJUWAPATHER PWSS,2434900,2191400,243500,244,796,32287,
"HAKAMA, HAKAMA PT I PWSS",5090000,4352000,483000,0,681,31804,8161054
HAKARTUP PWSS,2883300,2594900,288300,180,5494,23861,7828780
HAKMA PWSS,404000,345000,38000,171,6723,32977,
HALDHIBARI CHETIA GAON PWSS,1331000,1197900,133100,35,4867,30807,
HALDHIBARI PWSS,3768200,3391400,376800,365,2007,29742,8196631
HALGHORA PWSS,909000,777000,86000,227,9018,32985,
Halua Gaon,9134000,7810000,868000,16,1186,32871,
HALUWA GAON,1011000,910000,101000,160,542,29459,
HANDIQUE  GAON PWSS,4432400,3989200,443200,197,6136,32418,
HANGRUM PWSS,6175000,5557500,617500,195,4655,32573,
HANSARA CHANGAMAI PWSS,4794700,4315200,479500,175,4541,29687,8220161
HARAFUTA PWSS,273000,233000,26000,120,1448,32906,
HARALTARI PWSS,627000,536000,60000,0,5755,31070,8164340
HARBHANGA GOSSAIGAON PWSS,970000,829000,92000,303,2013,32575,
HARBHANGA JAMUNATARY PWSS,1166000,997000,111000,353,7114,33046,
HARCHURA PWSS (Revised),683300,584200,64900,15,6146,28614,4657150
HARIBHANGA-I PWSS,1857000,1587700,176400,541,3754,30865,8237604
Harikuri PWSS,6811500,6130400,681200,94,3222,30109,8228727
Harimura PWSS,3883000,3320000,369000,134,3529,32881,
Harinabasti PWSS,3909000,3342000,371000,634,7065,32726,
Harinagar P.W.S.Scheme,2500000,2138000,238000,78,1308,31996,
Harinagar Puran Irongmara W.S.Scheme,100000,86000,10000,270,531,32864,
HARINCHARA PWSS,712000,609000,68000,458,15800,32693,
HARISHCHANDRAPUR PWSS,3184400,2866000,318400,252,4197,31531,8223513
HARISHNAGAR WSS,847000,763000,85000,258,6115,32247,
Harizon Basti PWSS,1580000,1350900,150100,267,7066,31308,8227121
HARJHORA PWSS,1026000,877000,97000,131,7332,33005,
HARLONGSORA PWSS,2614100,2353000,262000,140,8159,30898,8225824
HARUFATA PWSS [STATE PLAN],3614000,3252000,362000,114,56,31605,8176607
Hasanpur W.S.S.,4713900,0,0,85,3229,31218,8234122
HASDOBA PWSS,4775000,4083000,453000,202,57,27664,8159939
HASHRABARI PWSS,5683900,5384700,598300,116,5796,22531,8235814
HASHRABARI PWSS,1982000,1695000,188000,319,1523,31873,
HASILABEEL PWSS,3750000,3375000,375000,69,44,30422,8172071
Hastinapur,5400000,4617000,513000,114,3240,32108,
HATHINAPUR PWSS,1569000,1412000,157000,426,1232,29356,8157860
HATIAMUKH PWSS,4143100,3728800,414300,205,2132,31190,8213486
HATIBAGRA PWSS (Revised),1425000,1282500,142500,70,4092,29651,8221295
Hatibandha PWSS,2827200,2544500,282700,346,2775,32200,
Haticherra Grant P.W.S.Scheme,5300000,4531500,503500,281,1334,31245,
Hatigaon PWSS,3682000,3148000,350000,180,3375,31888,8203689
Hatigarh Matikhola PWSS,405700,365100,40600,120,7102,29499,
HATIGARH NO.1 PWSS,618000,556000,62000,169,4144,32040,
HATIGARH PWSS,633000,541000,60000,211,6877,31884,
HATIJAN GAON PWSS ,190000,171000,19000,140,4678,31989,
Hatikhali PWSS,2900000,2479000,275000,280,4736,30291,8202769
Hatikuri Grant PWSS,3025000,2586400,287400,376,7265,32959,
Hatikuri PWSS,3025000,2586000,287000,253,6959,32315,
Hatimura Dakhin Kenduguri,5379000,4599000,511000,80,1664,30312,8161971
HATIMURA NO. 1 PWSS (revised),3719300,3347300,371900,181,4707,31767,
HATIMURA PWSS,4655000,4189500,465500,158,856,28863,
HATIMURIA GHARPHALIA PWSS,2673300,2406000,267300,654,4484,31446,4628872
HATIMURIA PWSS,5970200,5373200,597000,279,1993,32487,
Hatimutra PWSS,2779000,2376000,264000,0,1131,31779,
HATIPARA PWSS (Revised),3078000,2770200,307800,33,493,28864,8160998
HATISAR PWSS,2216400,1994700,221600,125,5732,29241,
HATISILA PWSS,3674000,3307000,367000,84,335,31323,8197028
Hatiutha PWSS,1493400,1344100,149300,213,6983,31424,5580164
HATKHOWAPARA PWSS (revised),3592000,3232800,359200,577,2402,31304,
HATOGAON PWSS,3950000,3378000,375000,93,482,31671,8156193
Hazaripara PWSS,489000,418000,47000,0,9140,32485,
Hedayetpur PWSS,3900000,3334000,370000,109,3978,31802,8203830
HEKUDANGBORI PWSS,4296900,3867200,429700,330,1985,29927,
